SEQ,LONG,LAT,LOCAL_ED,LOCALIZACA,REFERENCIA,DATA,MES,H_INICIO,H_FIM,DURACAO,DUR_H,id
1074.00000,-46.64167,-23.53791,AV RIO BRANCO,AV. RIO BRANCO,ALTURA DO NUMERO 633 - BAIRRO/CENTRO,2019/12/10,12.00000,16:29:00,16:42:00,00:13:00,0.22000,
1083.00000,-46.62704,-23.54312,AV MERCURIO,AV. MERCURIO,PC S. VITO - ESQUERDA,2019/12/10,12.00000,19:04:00,19:41:00,00:37:00,0.62000,
1086.00000,-46.62704,-23.54312,AV MERCURIO,AV. MERCURIO,PC S. VITO - BAIRRO/CENTRO,2019/12/11,12.00000,05:55:00,06:16:00,00:21:00,0.35000,
1095.00000,-46.64241,-23.54130,R AURORA,R. AURORA,ALTURA DO NUMERO 676 - AMBOS,2019/12/11,12.00000,17:53:00,19:09:00,01:16:00,1.27000,
1097.00000,-46.62704,-23.54312,AV MERCURIO,AV. MERCURIO,PC S. VITO - ESQUERDA,2019/12/11,12.00000,18:17:00,18:32:00,00:15:00,0.25000,
1098.00000,-46.62712,-23.54287,PC SAO VITO,PC. S VITO (SE),AV MERCURIO - UNICO - ESQUERDA,2019/12/11,12.00000,18:22:00,18:32:00,00:10:00,0.17000,
1099.00000,-46.63195,-23.54729,R DR BITTENCOURT RODRIGUES,R. DR. BETTENCOURT RODRIGUES,PC FERNANDO COSTA - UNICO - UNICA,2019/12/11,12.00000,18:23:00,19:22:00,00:59:00,0.98000,
1103.00000,-46.64108,-23.52274,R NEWTON PRADO,R. NEWTON PRADO (BOM RETIRO),R BARRA DO TIBAJI - UNICO - UNICA,2019/12/14,12.00000,16:05:00,18:36:00,02:31:00,2.52000,
1109.00000,-46.63012,-23.51902,MARGINAL TIETE,MARGINAL TIETE CBAS CENTRAL (BARRA FUNDA),PTE DAS BANDEIRAS SEN ROMEU TUMA - CASTELO B/A SENNA - CENTRAL,2019/12/14,12.00000,16:29:00,17:12:00,00:43:00,0.72000,
1126.00000,-46.64168,-23.53753,AV RIO BRANCO,AV. RIO BRANCO (REPUBLICA),R GAL OSORIO - BAIRRO/CENTRO,2019/12/17,12.00000,16:35:00,18:00:00,01:25:00,1.42000,
1134.00000,-46.63715,-23.54713,VD DO CHA,VD. DO. CHA,ALTURA DO NUMERO 0 - PATRIARCA/R AZEVEDO,2019/12/18,12.00000,13:01:00,13:34:00,00:33:00,0.55000,
1139.00000,-46.64115,-23.53824,AV RIO BRANCO,AV. RIO BRANCO (REPUBLICA),R DOS GUSMOES - BAIRRO/CENTRO,2019/12/23,12.00000,14:23:00,15:17:00,00:54:00,0.90000,
1140.00000,-46.64177,-23.53758,AV RIO BRANCO,AV. RIO BRANCO,R DOS GUSMOES - BAIRRO/CENTRO - ├ÜNICO,2019/12/23,12.00000,14:23:00,15:17:00,00:54:00,0.90000,
1153.00000,-46.63012,-23.51902,MARGINAL TIETE,MARGINAL TIETE CBAS CENTRAL (BARRA FUNDA),PTE DAS BANDEIRAS SEN ROMEU TUMA - CASTELO B/A SENNA - CENTRAL,2019/12/23,12.00000,16:45:00,17:15:00,00:30:00,0.50000,
1161.00000,-46.62704,-23.54312,AV MERCURIO,AV. MERCURIO (SE),PC S VITO - BAIRRO/CENTRO,2019/12/23,12.00000,19:09:00,21:24:00,02:15:00,2.25000,
