data,words_fr_812a,words_fr_833a,words_fr_857a,tw_812,tw_833,tw_857,floods_812,floods_833,floods_857,radar_812,radar_833,radar_857,gauge812,gauge_833
2019-02-11,0,1,2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-12,0,10,7,0.0,9.0,6.0,0.0,0.0,0.0,1.0516230228963253,0.3827013155011042,0.4731558991612316,4.19,2.6
2019-02-13,0,2,2,0.0,2.0,2.0,0.0,0.0,0.0,0.408512159538609,0.7828974840878277,0.5455442746543394,4.800000000000001,5.0
2019-02-14,0,8,8,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-15,5,12,11,5.0,11.0,10.0,0.0,2.0,2.0,2.4781386872238818,1.4990430472361989,1.7533227766138164,6.19,7.98
2019-02-16,8,25,22,8.0,24.0,21.0,3.0,2.0,2.0,13.506928810281073,13.893734235601496,12.63719207344412,14.200000000000001,22.330000000000002
2019-02-17,10,12,10,10.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,22.150000000000002
2019-02-18,2,3,3,2.0,3.0,3.0,0.0,0.0,0.0,0.4856074012477795,0.2508014402655721,0.1513404468240313,8.6,35.050000000000004
2019-02-19,0,5,5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.94
2019-02-20,1,8,8,1.0,8.0,8.0,1.0,1.0,0.0,13.453903868001852,10.680336197959408,12.760457155738267,7.2,10.41
2019-02-21,1,8,7,1.0,8.0,7.0,5.0,9.0,9.0,8.8645317329868,14.622970145699709,12.10426151475294,5.6000000000000005,23.91
2019-02-22,5,14,13,5.0,14.0,13.0,0.0,0.0,0.0,8.448886256883744,3.312273614464443,4.099373604766108,5.4,20.990000000000002
2019-02-23,2,12,12,2.0,12.0,12.0,0.0,0.0,0.0,2.5936040937914875,2.8849719163002856,3.6109210365866886,5.2,13.0
2019-02-24,2,7,6,2.0,7.0,6.0,1.0,1.0,1.0,0.2018157293930196,0.3801499940464419,0.0,5.2,10.15
2019-02-25,2,8,8,2.0,8.0,8.0,0.0,0.0,0.0,0.1685893017219043,0.3171063755045192,0.0,4.4,5.78
2019-02-26,3,19,15,3.0,16.0,12.0,6.0,5.0,3.0,2.6988359500387853,2.7057930463510247,2.497415378106691,4.6000000000000005,15.8
2019-02-27,0,8,7,0.0,8.0,7.0,0.0,0.0,0.0,0.4805776413842733,0.0,0.0,4.6000000000000005,21.990000000000002
2019-02-28,5,17,15,4.0,16.0,15.0,1.0,1.0,0.0,1.0618225791145832,0.903541347032618,0.6437168840331176,4.4,19.720000000000002
2019-03-01,0,10,9,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,18.17
2019-03-02,12,17,17,11.0,14.0,14.0,5.0,5.0,4.0,19.209844897143228,23.01043815402208,17.13453533415555,5.0,12.66
2019-03-03,4,16,13,4.0,16.0,13.0,0.0,0.0,0.0,1.3593352222641182,0.3736414551533059,0.0,5.2,24.16
2019-03-04,0,3,3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.1350765484089857,0.0,7.0,25.77
2019-03-05,5,9,6,5.0,9.0,6.0,4.0,5.0,5.0,7.776849073977218,33.0323210366035,18.554606581585748,16.36,8.120000000000001
2019-03-06,1,3,2,1.0,3.0,2.0,0.0,0.0,0.0,2.3122021831397275,0.967961316280548,1.8426665919024143,22.41,13.8
2019-03-07,4,10,9,3.0,10.0,9.0,7.0,6.0,5.0,1.447231284180293,1.307649142232139,1.0912386255697637,25.830000000000002,9.59
2019-03-08,0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.650000000000002,7.4
2019-03-09,8,16,13,8.0,16.0,13.0,0.0,0.0,2.0,16.120415909595458,24.6762754397868,22.22316773402944,8.72,9.700000000000001
2019-03-10,2,7,4,2.0,7.0,4.0,2.0,2.0,2.0,0.7625374933115566,0.1747652215472443,0.2290630079686977,33.370000000000005,19.8
2019-03-11,2,21,22,2.0,20.0,21.0,11.0,3.0,3.0,0.0,0.0,0.0,43.9,27.490000000000002
2019-03-12,0,13,13,0.0,13.0,13.0,0.0,0.0,0.0,1.493675002244237,2.7115700844348587,1.3387157638229508,1.97,16.400000000000002
2019-03-13,0,2,1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
2019-03-14,1,7,7,1.0,6.0,6.0,0.0,0.0,0.0,3.509867819099674,2.7041318395205147,3.145896796985037,3.39,2.4000000000000004
2019-03-15,0,2,2,0.0,2.0,2.0,0.0,0.0,0.0,1.0276117567389813,1.0495131058004383,0.8313157865954388,3.99,4.4
2019-03-16,2,5,4,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.78
2019-03-17,4,11,15,4.0,11.0,15.0,1.0,1.0,0.0,1.276912083359497,2.1881429067773426,1.4192892558893844,10.47,11.120000000000001
2019-03-18,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-19,3,7,7,2.0,5.0,5.0,0.0,1.0,1.0,3.379217740650716,6.256586898719327,2.102268910530252,14.370000000000001,9.91
2019-03-20,0,1,2,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,7.4
2019-03-21,2,19,19,2.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38,7.4
2019-03-22,1,2,2,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-23,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-24,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-25,0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-28,0,3,3,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-29,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,0,2,3,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
